Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0000783,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,minor,have not tried,,General,2023-01-08,,,,public,2023-01-08,"[IE10] Не кликабильная ""Боковое меню"" на главной странице сайта в хедере",assigned,open,
0000782,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,minor,have not tried,,General,2023-01-08,,,,public,2023-01-08,"[IE10] Не кликабильная кнопка ""PLAY"" на главной странице сайта в разделе ""О компании""",assigned,open,
0000781,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,minor,have not tried,,General,2023-01-08,,,,public,2023-01-08,"[IE10] Отсутствует якорь ""Вверх"" на главной странице сайта",assigned,open,
0000780,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,minor,sometimes,,General,2023-01-08,,,,public,2023-01-08,"[IE10] Не загружаются ""логотипы"" на главной странице сайта в разделе Технології  якими  ми володіємо",assigned,open,
0000779,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,minor,have not tried,,General,2023-01-08,,,,public,2023-01-08,[IE10] Не загружается видео в боди на главной странице сайта,assigned,open,
0000778,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,minor,have not tried,,General,2023-01-08,,,,public,2023-01-08,"Отсутствует EN локализация имен сотрудников и информация об их опыте в подразделе ""VUE.JS DEVELOPER""",assigned,open,
0000764,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,major,sometimes,,General,2023-01-05,,,,public,2023-01-05,"Не корректно переведено название раздела ""Решение""/ ""Рішення"" в боковом меню на UA RU локализации сайта",assigned,open,
0000763,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,major,always,,General,2023-01-05,,,,public,2023-01-05,Отсутствует локализация на UA/EN в body на главной странице сайта при просмотре видео КОМПАНІЯ-РОЗРОБНИК ІТ ПРОДУКТІВ,assigned,open,
0000762,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,low,minor,have not tried,,General,2023-01-05,,,,public,2023-01-05,"Отсутствует плейсхолдер ""пошук"" в поисковой строке украинской локализации сайта",assigned,open,
0000761,Projekt AVADA-MEDIA [DONEV],administrator,Kirilenko Andrey,normal,minor,sometimes,,General,2023-01-05,,,,public,2023-01-05,Ошибка 503 на главной странице сайта avada-media,assigned,open,
