"ID","Title","Assigned To","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","(Зв`язатися з нами)  Перевірка дзвінка по кліку на номер","Dana Karpova"," None","Dana Karpova","8/14/2024 9:22 AM","180s","Браузер запропонує зробити дзвінок","","","","Після натискання на номер телефону у формі ""Зв`язатися з нами"" браузер має запропонувати дзвінок","Low","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:33 AM"
"C2","(Зв`язатися з нами)  Перевірка валідації імені",""," None","Dana Karpova","8/14/2024 9:25 AM","300s","Форма має повідомити про не коректне імʼя","","","","Ввести у поле ""імʼя"" різні символи які не можуть бути іменем наприклад ""пробіли""","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:33 AM"
"C3","(Зв`язатися з нами) Перевірка валідації поля """"Номер телефона""""","Dana Karpova"," None","Dana Karpova","8/14/2024 9:29 AM","300s","Поле має повідомити про помилку або не дозволяти ввести символи яких не може бути у номері телефону","","","","Перевірка поля номер телефона вводом некоректних символів які не можуть бути у номері телефона наприклад букви та спеціальні символи","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:33 AM"
"C4","(Зв`язатися з нами) Перевірка валідації поля """"є-пошта""""","Dana Karpova"," None","Dana Karpova","8/14/2024 9:32 AM","300s","Поле має повідомити про помилку або не дозволити ввести некоректні символи","","","","Ввести у поля ""є-пошта"" некоректні символи яких не може був у є-адресі наприклад пробіли, емодзі то що","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:33 AM"
"C5","(Зв`язатися з нами) Перевірка обмежень на розміру та розширення закріпленного документа","Dana Karpova"," None","Dana Karpova","8/14/2024 9:39 AM","180s","При спробі додати файли з недозволеним розширенням та великого розміру форма """"Зв`язатися з нами"""" повідомить про помилку","","","","У полі прикріпити документ, додати документ розміром більш 1000 мб та різних розширень які не можуть бути у документа","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:39 AM"
"C6","(Зв`язатися з нами) Загальний вигляд форми","Dana Karpova"," None","Dana Karpova","8/14/2024 9:46 AM","60s","Форма """"Зв`язатися з нами"""" має загальний вигляд - займає 3 колонки:
1) Має назву """"Зв`язатися з нами"""" великими літерами  кольору (#ABAEB5), нижче ідуть 3 номери телефона
2) Має заголовок """"Тематика"""" колір тексту (#FFFFFF), нижче ідуть 2 поле імя та є-пошта
3) має селекторну тема звʼязку номер телефону та поле коментар","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:46 AM"
"C7","(Зв`язатися з нами) Перевірка вигляду посилань на дзвінок","Dana Karpova"," None","Dana Karpova","8/14/2024 9:49 AM","60s","Посилання на дзвінок має вигляд номеру телефону текстом колір якого (#FFFFFF) також з ліва має бути у кружечку флаг країни до якої належить номер телефону. Рівняння номерів телефону буде по правому боку, на що кружечки з лагом по лівому","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:49 AM"
"C8","(Зв`язатися з нами) Перевірка вигляду поля """"Імя""""","Dana Karpova"," None","Dana Karpova","8/14/2024 9:53 AM","60s","Поле """"Імя"""" має вигляд текстового поля з максимальною кількостью строк - 1.
Поле має підказку з надписом """"Олександр"""" колір якої (#ABAEB5) та назву поля """"Імя"""" колір якої (#FFFFFF). 
Поле має нижнє підкреслення яке має такий ж колір як і підказка","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:53 AM"
"C9","(Зв`язатися з нами) Перевірка вигляду поля """"є-пошта""""","Dana Karpova"," None","Dana Karpova","8/14/2024 9:56 AM","60s","Поле """"E-mail"""" має вигляд текстового поля з максимальною кількостью строк - 1.
Поле має підказку з надписом """"alex@gmail.com"""" колір якої (#ABAEB5) та назву поля """"E-mail"""" колір якої (#FFFFFF).
Поле має нижнє підкреслення яке має такий ж колір як і підказка.
Поле має тип e-mail яке дозволяє підставляти браузером нещодавно введені адреси
Також поле має валідацію по e-mail","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:56 AM"
"C10","(Зв`язатися з нами) Перевірка вигляду поля """"Телефон""""","Dana Karpova"," None","Dana Karpova","8/14/2024 9:59 AM","60s","Поле """"Телефон"""" має вигляд текстового поля з максимальною кількостью строк - 1.
Поле має підказку з надписом """"50 123 4567"""" колір якої (#ABAEB5) та назву поля """"Телефон"""" колір якої (#FFFFFF).
Поле має нижнє підкреслення яке має такий ж колір як і підказка.
Також з правого боку поле має селекторну кодів країн","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 9:59 AM"
"C11","(Зв`язатися з нами) Перевірка вигляду поля """"Коментар""""","Dana Karpova"," None","Dana Karpova","8/14/2024 10:00 AM","60s","Поле """"Коментар"""" має вигляд текстового поля з максимальною кількостью строк - 25.
Поле має підказку з надписом """"Розкажіть, як ми можемо Вам допомогти..."""" колір якої (#ABAEB5) та назву поля """"Коментар"""" колір якої (#FFFFFF).
Поле має нижнє підкреслення яке має такий ж колір як і підказка.","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 10:00 AM"
"C12","(Зв`язатися з нами) Перевірка вигляду селектора кода країни","Dana Karpova"," None","Dana Karpova","8/14/2024 10:02 AM","60s","Селектор кода країни представляє собою частину поля """"Телефон"""" яке має з лівого боку прапор країни код, якої буде підставлено та з лівого боку сам код наприклад +380 колір якого (#FFFFFF)","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 10:02 AM"
"C13","(Зв`язатися з нами) Перевірка поля """"Прикрепити документ""""","Dana Karpova"," None","Dana Karpova","8/14/2024 10:05 AM","60s","Поле """"Прикріпити документ"""" має вигляд іконки з ліва яка своїм виглядом натякає на завантаження та текстом """"Прикріпити документ"""", колір тексту та іконки (#ABAEB5)","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 10:05 AM"
"C14","(Зв`язатися з нами) Перевірка вигляду поля """"Тема звернення""""","Dana Karpova"," None","Dana Karpova","8/14/2024 10:13 AM","60s","Поле тема звернення має вигляд з 2 частин та стрілочки у правий бік.
Перша це назва """"Тематика звернення:"""" яка знаходиться у колонці 2 та сам селектор який знаходиться у колонці 3
Сеелктор має вигляд прямокутника з скругденням кутів 12 пікс та кольором фону (#006572), колір тексту обраного елемента та назви поля (#FFFFFF)","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 10:13 AM"
"C15","(Зв`язатися з нами) Перевірка функціоналу обирання теми у селекторі """"Тема звернення""""",""," None","Dana Karpova","8/14/2024 10:15 AM","","При натисканні на селекторну """"Тематика звернення"""" стрілочна повертається у низ, та поля розгорається відображає теми
При обирані теми поля згортається та стрілочна повертається у правий бік (як на почтаку)
На згорнутому селекторні відображається обрана тема","","","","","Medium","","Test Cases","0","","Master","S1","Other","Dana Karpova","8/14/2024 10:15 AM"
